month,wiki_views_en,new_users_en,total_pages_en,edited_pages_en,active_editors_en,devices_en_desktop,devices_en_mobile,edits_en,year
2019-01-01 00:00:00+00:00,9834685480.0,161694.0,35490947,1502440,38191,261151968.0,606173389.0,4724326,2019
2019-02-01 00:00:00+00:00,8410127951.0,146677.0,35679989,1324805,37553,259326821.0,563958381.0,4178526,2019
2019-03-01 00:00:00+00:00,9068839271.0,157663.0,35873253,1412771,40621,261845466.0,604611049.0,4553313,2019
2019-04-01 00:00:00+00:00,8958827856.0,131829.0,36042930,1357052,39266,248635438.0,588465756.0,4339740,2019
2019-05-01 00:00:00+00:00,8870499898.0,130525.0,36240287,1470245,37684,247450148.0,594675343.0,4543633,2019
2019-06-01 00:00:00+00:00,8474311490.0,125179.0,36405230,1389166,34336,224807053.0,582278082.0,4307676,2019
2019-07-01 00:00:00+00:00,9051113326.0,130691.0,36554016,1378033,35044,219185622.0,604078708.0,4312348,2019
2019-08-01 00:00:00+00:00,8960173622.0,135188.0,36708830,1380616,35095,213653804.0,623604011.0,4412205,2019
2019-09-01 00:00:00+00:00,8860804661.0,146500.0,36906987,2046545,36386,226947497.0,677191934.0,5303763,2019
2019-10-01 00:00:00+00:00,9570051741.0,156812.0,37110133,1604988,38716,249095911.0,624901452.0,4825274,2019
2019-11-01 00:00:00+00:00,9251580928.0,149647.0,37291390,1411121,38104,259993109.0,686790689.0,4504952,2019
2019-12-01 00:00:00+00:00,9421143220.0,151681.0,37451532,1468971,36143,233340255.0,630376091.0,4550106,2019
2020-01-01 00:00:00+00:00,9895757869.0,159239.0,37641035,1616395,38091,248297720.0,623565979.0,4912960,2020
2020-02-01 00:00:00+00:00,8995442661.0,137859.0,37815831,1488981,37958,254356405.0,620758375.0,4511291,2020
2020-03-01 00:00:00+00:00,9636779586.0,139478.0,38012851,1639390,39522,267822512.0,647640512.0,4905940,2020
2020-04-01 00:00:00+00:00,11281345514.0,156426.0,38206120,1877426,41360,280432696.0,677738851.0,5465883,2020
2020-05-01 00:00:00+00:00,10948391851.0,153507.0,38420832,1888800,42015,268843391.0,616574882.0,5642243,2020
2020-06-01 00:00:00+00:00,9632673871.0,146407.0,38618924,1645669,38824,241926902.0,583826779.0,5061716,2020
2020-07-01 00:00:00+00:00,9717306043.0,151825.0,38793114,1523802,37642,245177080.0,589910866.0,4906804,2020
2020-08-01 00:00:00+00:00,9468568402.0,135925.0,39121573,1714842,37668,235480894.0,598783769.0,5110385,2020
2020-09-01 00:00:00+00:00,9278322594.0,129968.0,39322286,1672978,39549,255147062.0,586232352.0,4910988,2020
2020-10-01 00:00:00+00:00,9847653275.0,126997.0,39506097,1604789,39685,271115789.0,602542342.0,5005889,2020
2020-11-01 00:00:00+00:00,9999345740.0,119883.0,39676993,1601593,39056,275177462.0,598749889.0,4938458,2020
2020-12-01 00:00:00+00:00,9836755274.0,127947.0,39854171,1961192,38462,259686139.0,589184678.0,5634879,2020
2021-01-01 00:00:00+00:00,10344371474.0,144528.0,40070181,2232625,41025,283426788.0,623953885.0,6257128,2021
2021-02-01 00:00:00+00:00,9277964523.0,124099.0,40336624,1850149,40318,266606969.0,566353721.0,5189350,2021
2021-03-01 00:00:00+00:00,9995982090.0,128414.0,40565156,1873017,43550,272057257.0,590913431.0,5508694,2021
2021-04-01 00:00:00+00:00,9692116133.0,113330.0,40740342,1742174,41923,256874536.0,566965420.0,5180793,2021
2021-05-01 00:00:00+00:00,9871033234.0,114287.0,40918359,1619327,40714,251371127.0,586404078.0,5175550,2021
2021-06-01 00:00:00+00:00,9048095624.0,105163.0,41101072,1610601,37240,234755385.0,569727960.0,4869635,2021
2021-07-01 00:00:00+00:00,9850698065.0,96977.0,41291818,1602491,36911,223794116.0,559666563.0,4951500,2021
2021-08-01 00:00:00+00:00,9745260330.0,98519.0,41455284,1613756,37034,241992629.0,554820116.0,4961306,2021
2021-09-01 00:00:00+00:00,9217504772.0,105723.0,41618885,2306977,38364,231012793.0,540145505.0,5559612,2021
2021-10-01 00:00:00+00:00,9168265203.0,106243.0,41839322,1910194,38482,239380525.0,547840744.0,5268050,2021
2021-11-01 00:00:00+00:00,8668083530.0,100255.0,41991082,1700579,38043,231267312.0,519559644.0,4873054,2021
2021-12-01 00:00:00+00:00,8761073705.0,102414.0,42134109,1642683,36686,217228571.0,536111837.0,4831483,2021
2022-01-01 00:00:00+00:00,9676744713.0,112182.0,42299025,2291647,38946,228945710.0,557196446.0,5890363,2022
2022-02-01 00:00:00+00:00,9047838902.0,103208.0,42453186,2089123,37625,237707065.0,542806817.0,5203718,2022
2022-03-01 00:00:00+00:00,9465549905.0,105076.0,42612271,2253339,39752,252223317.0,562856451.0,5598172,2022
2022-04-01 00:00:00+00:00,9083181076.0,93765.0,42751723,1886661,38563,252707826.0,541881270.0,4940876,2022
2022-05-01 00:00:00+00:00,9291179547.0,94540.0,42889921,1900300,38060,270909461.0,556808906.0,5171496,2022
2022-06-01 00:00:00+00:00,8898068759.0,112103.0,43079430,1689453,35243,259443350.0,538610452.0,4802058,2022
2022-07-01 00:00:00+00:00,9387220569.0,85373.0,43224880,2373208,36078,223420262.0,548283755.0,5548344,2022
2022-08-01 00:00:00+00:00,9880432657.0,87137.0,43357904,2830804,35860,241150583.0,560016196.0,5992991,2022
2022-09-01 00:00:00+00:00,10112983587.0,96763.0,43506321,2290917,37663,224861413.0,563527052.0,5367527,2022
2022-10-01 00:00:00+00:00,10074636369.0,101416.0,43677572,2608100,39125,253549902.0,582120486.0,5811573,2022
2022-11-01 00:00:00+00:00,10348035372.0,99394.0,43827182,2353651,37607,232023060.0,572282552.0,5380281,2022
2022-12-01 00:00:00+00:00,9515514960.0,96460.0,43985939,2766822,36648,216259472.0,598239248.0,5742858,2022
2023-01-01 00:00:00+00:00,10276975849.0,125538.0,44170817,2432372,39294,226059921.0,625123433.0,5774735,2023
2023-02-01 00:00:00+00:00,9322568979.0,104134.0,44351370,2306459,36819,228709708.0,575089835.0,5252670,2023
2023-03-01 00:00:00+00:00,11467602490.0,111460.0,44527873,1958306,39532,243778116.0,625170031.0,5220372,2023
2023-04-01 00:00:00+00:00,10278233752.0,104002.0,44688268,1663697,38422,247659674.0,604231683.0,4791214,2023
2023-05-01 00:00:00+00:00,10279296793.0,97658.0,44842963,1852926,37480,232339249.0,643777187.0,5218640,2023
2023-06-01 00:00:00+00:00,10105182380.0,88268.0,45008925,1660110,34942,222683069.0,691918639.0,4653847,2023
2023-07-01 00:00:00+00:00,10808389648.0,89000.0,45222995,1891111,36161,223785214.0,680433697.0,5211132,2023
2023-08-01 00:00:00+00:00,10714063085.0,93052.0,45365106,1705819,36720,220360181.0,687756366.0,4933386,2023
2023-09-01 00:00:00+00:00,11030166853.0,97706.0,45514725,1591346,37815,228609150.0,650578246.0,4642923,2023
2023-10-01 00:00:00+00:00,12666287771.0,97081.0,45674350,1551830,39200,245138292.0,690835399.0,4748046,2023
2023-11-01 00:00:00+00:00,11385265223.0,101246.0,45852245,1552875,39396,232098979.0,656828162.0,4729619,2023
2023-12-01 00:00:00+00:00,11209580875.0,86717.0,46015457,1890356,37992,224352311.0,660662724.0,5075489,2023
2024-01-01 00:00:00+00:00,12697373117.0,100155.0,46215578,4983617,40577,249940786.0,696463850.0,8576637,2024
2024-02-01 00:00:00+00:00,11037300706.0,88212.0,46390984,6013875,39455,250319971.0,644431717.0,9444178,2024
2024-03-01 00:00:00+00:00,11519137217.0,89410.0,46584802,1994074,40839,284060577.0,687013148.0,5390805,2024
2024-04-01 00:00:00+00:00,10908956458.0,88056.0,46792699,1693842,40403,269012813.0,688674134.0,4950645,2024
