month,wiki_views_fr,edited_pages_fr,total_pages_fr,active_editors_fr,new_user_fr,edits_fr,devices_fr_desktop,devices_fr_mobile,year
2019-01-01 00:00:00+00:00,911773633.0,345716,8243297,6000.0,17772.0,952473,34794792.0,62376930.0,2019
2019-02-01 00:00:00+00:00,779462657.0,268216,8285848,5464.0,14786.0,759986,33048868.0,57758220.0,2019
2019-03-01 00:00:00+00:00,859340914.0,305572,8332388,6071.0,16842.0,865105,34459632.0,62093918.0,2019
2019-04-01 00:00:00+00:00,823434314.0,292528,8374208,5827.0,14392.0,825404,32788255.0,61563786.0,2019
2019-05-01 00:00:00+00:00,843843762.0,281781,8416814,5652.0,15013.0,822028,34505556.0,63806293.0,2019
2019-06-01 00:00:00+00:00,736511790.0,274229,8459244,5311.0,13292.0,777145,30344031.0,61029515.0,2019
2019-07-01 00:00:00+00:00,750363466.0,357787,8494474,5101.0,11914.0,860737,27737619.0,61676267.0,2019
2019-08-01 00:00:00+00:00,798527770.0,296662,8532132,5190.0,11722.0,800869,26399139.0,63970927.0,2019
2019-09-01 00:00:00+00:00,805558983.0,354586,8572249,5249.0,14301.0,845545,30767367.0,70996648.0,2019
2019-10-01 00:00:00+00:00,875175735.0,335636,8617426,5636.0,17390.0,875904,34340182.0,70175920.0,2019
2019-11-01 00:00:00+00:00,930187416.0,353018,8665794,5993.0,18094.0,904003,36042584.0,75929941.0,2019
2019-12-01 00:00:00+00:00,925684149.0,330103,8709399,5737.0,16210.0,859246,33049636.0,70709987.0,2019
2020-01-01 00:00:00+00:00,957286462.0,390925,8759859,6025.0,18394.0,993550,35586672.0,72892409.0,2020
2020-02-01 00:00:00+00:00,872750761.0,410841,8801167,5861.0,15965.0,982865,33039639.0,73079574.0,2020
2020-03-01 00:00:00+00:00,974918147.0,397281,8849627,6131.0,16767.0,1026201,37546397.0,75206711.0,2020
2020-04-01 00:00:00+00:00,1134231023.0,448750,8904243,6790.0,17479.0,1209475,38106271.0,74837189.0,2020
2020-05-01 00:00:00+00:00,1084785304.0,472080,8968381,6837.0,16647.0,1206848,36151966.0,64930144.0,2020
2020-06-01 00:00:00+00:00,878046129.0,366891,9020050,5977.0,14114.0,950227,31585552.0,58547188.0,2020
2020-07-01 00:00:00+00:00,846119140.0,365338,9062274,5586.0,12951.0,916259,26666733.0,58911893.0,2020
2020-08-01 00:00:00+00:00,833220634.0,316082,9098178,5386.0,11429.0,842382,25894883.0,61448691.0,2020
2020-09-01 00:00:00+00:00,820015249.0,314255,9135413,5364.0,12844.0,828198,31096364.0,59586337.0,2020
2020-10-01 00:00:00+00:00,905851339.0,321860,9178633,5746.0,15270.0,898384,34962547.0,61976737.0,2020
2020-11-01 00:00:00+00:00,1036446190.0,359519,9231673,6208.0,16172.0,1000637,37942981.0,64441452.0,2020
2020-12-01 00:00:00+00:00,1016869361.0,462280,9306445,6358.0,14140.0,1088467,35655443.0,63499621.0,2020
2021-01-01 00:00:00+00:00,1026387492.0,446790,9364343,6669.0,19378.0,1144050,37881057.0,66889020.0,2021
2021-02-01 00:00:00+00:00,912893537.0,338317,9413439,6410.0,15851.0,944349,35812505.0,61240228.0,2021
2021-03-01 00:00:00+00:00,1001687821.0,355986,9466501,6550.0,16314.0,987362,36936584.0,64155763.0,2021
2021-04-01 00:00:00+00:00,973048271.0,354234,9515364,6625.0,14376.0,989457,36451632.0,62644906.0,2021
