month;Wiki Views EN;New Users EN;Total Pages EN;Edited Pages EN;Active Editors EN;Devices EN_Desktop;Devices EN_Mobile;Edits EN
2001-01-01T00:00:00.000Z;;5.0;67;67;17;;;556
2001-02-01T00:00:00.000Z;;2.0;229;177;20;;;952
2001-03-01T00:00:00.000Z;;7.0;757;600;35;;;1821
2001-05-01T00:00:00.000Z;;8.0;2666;1424;31;;;2390
2001-06-01T00:00:00.000Z;;3.0;3153;652;29;;;1504
2001-07-01T00:00:00.000Z;;19.0;4137;1237;72;;;2648
2001-08-01T00:00:00.000Z;;9.0;6014;2225;73;;;3978
2001-09-01T00:00:00.000Z;;35.0;9234;3909;115;;;6761
2001-10-01T00:00:00.000Z;;12.0;14349;6275;137;;;11414
2001-11-01T00:00:00.000Z;;17.0;17857;5736;162;;;16718
2001-12-01T00:00:00.000Z;;25.0;20271;5952;193;;;24568
2002-01-01T00:00:00.000Z;;21.0;22101;4582;176;;;17273
2002-05-01T00:00:00.000Z;;1.0;37478;8058;144;;;19544
2002-11-01T00:00:00.000Z;;1.0;107766;20746;350;;;62864
2003-01-01T00:00:00.000Z;;1.0;121529;25298;552;;;91606
2003-05-01T00:00:00.000Z;;1.0;151250;32295;728;;;112533
2003-10-01T00:00:00.000Z;;2.0;205748;42447;1243;;;152365
2003-11-01T00:00:00.000Z;;2.0;218077;52813;1347;;;199293
2003-12-01T00:00:00.000Z;;2.0;232664;61943;1481;;;221817
2004-01-01T00:00:00.000Z;;1.0;247744;60961;1679;;;218733
2004-02-01T00:00:00.000Z;;2.0;269342;79283;2266;;;309865
2004-03-01T00:00:00.000Z;;4.0;299542;105669;3016;;;440460
2004-04-01T00:00:00.000Z;;3.0;325586;107522;3053;;;404909
2004-05-01T00:00:00.000Z;;3.0;352056;111436;3288;;;420068
2004-06-01T00:00:00.000Z;;5.0;382907;172162;3461;;;560840
2004-07-01T00:00:00.000Z;;3.0;414970;159128;4114;;;600075
2004-08-01T00:00:00.000Z;;6.0;451280;191363;4344;;;639233
2004-09-01T00:00:00.000Z;;6.0;487889;178301;4928;;;675580
2004-10-01T00:00:00.000Z;;12.0;528820;204000;5579;;;742067
2004-11-01T00:00:00.000Z;;11.0;577300;244494;6423;;;947161
2004-12-01T00:00:00.000Z;;7.0;625867;245347;6957;;;932450
2005-01-01T00:00:00.000Z;;2.0;666400;201110;6870;;;799496
2005-02-01T00:00:00.000Z;;5.0;705057;201464;6871;;;789162
2005-03-01T00:00:00.000Z;;11.0;755662;248724;8543;;;1023770
2005-04-01T00:00:00.000Z;;13.0;815241;292498;10040;;;1293508
2005-05-01T00:00:00.000Z;;7.0;874146;307078;10909;;;1363786
2005-06-01T00:00:00.000Z;;14.0;939607;327763;11814;;;1508312
2005-07-01T00:00:00.000Z;;17.0;1021804;371780;14516;;;1831586
2005-08-01T00:00:00.000Z;;13.0;1112909;407369;16077;;;1980144
2005-09-01T00:00:00.000Z;;44088.0;1193683;433546;15151;;;1884759
2005-10-01T00:00:00.000Z;;75136.0;1293551;475603;17474;;;2243896
2005-11-01T00:00:00.000Z;;80960.0;1386511;498941;17835;;;2365503
2005-12-01T00:00:00.000Z;;116719.0;1512995;586132;26320;;;3220880
2006-01-01T00:00:00.000Z;;123435.0;1660182;657221;29756;;;3662179
2006-02-01T00:00:00.000Z;;140976.0;1802659;704190;31383;;;3548910
2006-03-01T00:00:00.000Z;;172840.0;1959253;798862;36258;;;4095444
2006-04-01T00:00:00.000Z;;169749.0;2125259;782538;37343;;;3974506
2006-05-01T00:00:00.000Z;;184902.0;2299669;826829;41517;;;4564272
2006-06-01T00:00:00.000Z;;172304.0;2479001;828472;42912;;;4544679
2006-07-01T00:00:00.000Z;;187956.0;2669607;882563;45358;;;4747851
2006-08-01T00:00:00.000Z;;221464.0;2985870;1118862;50336;;;5354499
2006-09-01T00:00:00.000Z;;235813.0;3191393;959451;48823;;;4911803
2006-10-01T00:00:00.000Z;;255645.0;3417734;1008426;51256;;;5378380
2006-11-01T00:00:00.000Z;;270413.0;3643732;1023372;54653;;;5513065
2006-12-01T00:00:00.000Z;;236609.0;3864809;1060694;55264;;;5549513
2007-01-01T00:00:00.000Z;;274006.0;4126258;1169060;60015;;;6181605
2007-02-01T00:00:00.000Z;;283207.0;4393003;1180547;59838;;;6099481
2007-03-01T00:00:00.000Z;;290918.0;4709024;1323148;63748;;;6711609
2007-04-01T00:00:00.000Z;;274143.0;5021408;1432236;62433;;;6702441
2007-05-01T00:00:00.000Z;;256134.0;5279150;1321369;60946;;;6566152
2007-06-01T00:00:00.000Z;;219715.0;5521501;1259207;54355;;;5847369
2007-07-01T00:00:00.000Z;;230027.0;5783135;1230941;55448;;;5822387
2007-08-01T00:00:00.000Z;;224711.0;6031528;1266614;53465;;;5723854
2007-09-01T00:00:00.000Z;;238139.0;6275036;1256753;52496;;;5746883
2007-10-01T00:00:00.000Z;;252035.0;6533004;1336581;54415;;;6154133
2007-11-01T00:00:00.000Z;;208204.0;6773667;1267879;51458;;;5769461
2007-12-01T00:00:00.000Z;;170891.0;7025881;1286137;48422;;;5642875
2008-01-01T00:00:00.000Z;;233653.0;7347477;1434067;52700;;;6226936
2008-02-01T00:00:00.000Z;;227368.0;7650628;1361837;52536;;;6033449
2008-03-01T00:00:00.000Z;;222436.0;7972939;1511347;54977;;;6678645
2008-04-01T00:00:00.000Z;;216816.0;8267328;1438850;53812;;;6212699
2008-05-01T00:00:00.000Z;;205643.0;8567558;1435259;52697;;;6234158
2008-06-01T00:00:00.000Z;;173656.0;8865251;1453113;49008;;;5840879
2008-07-01T00:00:00.000Z;;166179.0;9137699;1420858;49259;;;5779423
2008-08-01T00:00:00.000Z;;172112.0;9417101;1446428;48445;;;5811955
2008-09-01T00:00:00.000Z;;182644.0;9677439;1595236;47100;;;6090190
2008-10-01T00:00:00.000Z;;195784.0;9946952;1469281;49049;;;6197922
2008-11-01T00:00:00.000Z;;178018.0;10266217;1488056;46982;;;5658481
2008-12-01T00:00:00.000Z;;157817.0;10526511;1429436;46257;;;5559602
2009-01-01T00:00:00.000Z;;198224.0;10802797;1439864;49736;;;5984165
2009-02-01T00:00:00.000Z;;192330.0;11051404;1455738;47480;;;5671122
2009-03-01T00:00:00.000Z;;204709.0;11351926;1668929;50302;;;6311454
2009-04-01T00:00:00.000Z;;184747.0;11596190;1440708;47446;;;5656296
2009-05-01T00:00:00.000Z;;182593.0;11845247;1622829;48129;;;5937674
2009-06-01T00:00:00.000Z;;173136.0;12072568;1412694;46830;;;5474193
2009-07-01T00:00:00.000Z;;170559.0;12287166;1335869;46354;;;5257952
2009-08-01T00:00:00.000Z;;178135.0;12507097;1366228;45908;;;5333157
2009-09-01T00:00:00.000Z;;177449.0;12717630;1446715;44416;;;5406024
2009-10-01T00:00:00.000Z;;187913.0;12955858;1430375;45948;;;5505059
2009-11-01T00:00:00.000Z;;177282.0;13166762;1386937;45361;;;5276375
2009-12-01T00:00:00.000Z;;160966.0;13396014;1829830;43677;;;5807989
2010-01-01T00:00:00.000Z;;192851.0;13635102;1405954;45959;;;5491840
