month;Wiki Views FR;Edited Pages FR;Total Pages FR;Active Editors FR;New User FR;Edits FR;Devices FR_Desktop;Devices FR_Mobile
2001-06-01T00:00:00.000Z;;1;1;;;2;;
2001-08-01T00:00:00.000Z;;8;9;;;9;;
2001-10-01T00:00:00.000Z;;12;19;1.0;;17;;
2001-11-01T00:00:00.000Z;;9;27;1.0;;13;;
2001-12-01T00:00:00.000Z;;1;28;;;3;;
2002-01-01T00:00:00.000Z;;20;47;2.0;;25;;
2002-02-01T00:00:00.000Z;;145;186;5.0;;193;;
2002-03-01T00:00:00.000Z;;222;373;5.0;;322;;
2002-04-01T00:00:00.000Z;;115;468;6.0;1.0;178;;
2002-05-01T00:00:00.000Z;;251;655;9.0;;393;;
2002-06-01T00:00:00.000Z;;369;927;12.0;1.0;584;;
2002-07-01T00:00:00.000Z;;569;1421;12.0;2.0;916;;
2002-08-01T00:00:00.000Z;;1025;2120;17.0;1.0;1619;;
2002-09-01T00:00:00.000Z;;832;2678;27.0;3.0;1364;;
2002-10-01T00:00:00.000Z;;3085;3087;35.0;3.0;5606;;
2002-11-01T00:00:00.000Z;;1945;3907;42.0;;5841;;
2002-12-01T00:00:00.000Z;;1716;4490;45.0;;5221;;
2003-01-01T00:00:00.000Z;;2218;5597;57.0;;6476;;
2003-02-01T00:00:00.000Z;;3514;7507;57.0;;7871;;
2003-03-01T00:00:00.000Z;;3884;9805;55.0;;6983;;
2003-04-01T00:00:00.000Z;;2158;10598;53.0;;6356;;
2003-05-01T00:00:00.000Z;;4763;12455;98.0;;12819;;
2003-06-01T00:00:00.000Z;;4898;14250;101.0;;16098;;
2003-07-01T00:00:00.000Z;;6100;16276;89.0;1.0;16762;;
2003-08-01T00:00:00.000Z;;7598;17751;101.0;;22738;;
2003-09-01T00:00:00.000Z;;6994;19356;112.0;;19511;;
2003-10-01T00:00:00.000Z;;5351;20928;136.0;;17567;;
2003-11-01T00:00:00.000Z;;11745;23816;200.0;2.0;40386;;
2003-12-01T00:00:00.000Z;;8447;26386;213.0;1.0;30377;;
2004-01-01T00:00:00.000Z;;10166;30162;196.0;;32329;;
2004-02-01T00:00:00.000Z;;11988;33337;272.0;;41354;;
2004-03-01T00:00:00.000Z;;16660;38050;363.0;1.0;57449;;
2004-04-01T00:00:00.000Z;;18691;41871;350.0;1.0;62043;;
2004-05-01T00:00:00.000Z;;21532;45807;372.0;;67506;;
2004-06-01T00:00:00.000Z;;30921;51382;471.0;;96166;;
2004-07-01T00:00:00.000Z;;26135;57300;504.0;1.0;85177;;
2004-08-01T00:00:00.000Z;;35512;63780;529.0;;121255;;
2004-09-01T00:00:00.000Z;;33539;70410;634.0;;117376;;
2004-10-01T00:00:00.000Z;;30681;77044;671.0;;102012;;
2004-11-01T00:00:00.000Z;;36975;85394;813.0;1.0;126168;;
2004-12-01T00:00:00.000Z;;37321;94194;858.0;1.0;130200;;
2005-01-01T00:00:00.000Z;;41637;102961;888.0;2.0;134881;;
2005-02-01T00:00:00.000Z;;41215;113881;870.0;1.0;125215;;
2005-03-01T00:00:00.000Z;;54614;125030;1016.0;1.0;174329;;
2005-04-01T00:00:00.000Z;;57276;137670;1248.0;5.0;194381;;
